gene_ID,WT_0,WT_15,WT_30,WT_60,log2fc_WT_0_WT_15,log2fc_WT_0_WT_30,log2fc_WT_0_WT_60,log2fc_WT_15_WT_30,log2fc_WT_15_WT_60,log2fc_WT_30_WT_60,qWT_0_WT_15,qWT_0_WT_30,qWT_0_WT_60,qWT_15_WT_30,qWT_15_WT_60,qWT_30_WT_60,cluster
AT1G25560,6.06412,33.1575,12.647,31.1589,2.45096,1.06043,2.36127,-1.39054,-0.0896896,1.30085,0.00225554,0.106108,0.00225554,0.0208548,0.999842,0.0266529,6
AT1G25580,2.55649,1.97015,2.21515,5.30479,-0.37586,-0.206764,1.05313,0.169096,1.42899,1.25989,0.999842,0.999842,0.0975509,0.999842,0.028818,0.0299199,1
AT1G26380,2.35631,0.754633,9.93308,59.2314,-1.64268,2.07571,4.65176,3.71839,6.29444,2.57605,0.0910546,0.00587253,0.00225554,0.00225554,0.00225554,0.00225554,1
AT1G26390,4.91784,0.145945,2.629,2.37022,-5.07453,-0.903512,-1.053,4.17102,4.02153,-0.149489,0.00225554,0.60593,0.407187,0.00901084,0.0104867,0.999842,10
AT1G26420,1.14812,0.626465,4.22695,23.1708,-0.873964,1.88035,4.33496,2.75431,5.20893,2.45462,0.854632,0.00748685,0.00225554,0.00225554,0.00225554,0.00225554,1
AT1G26440,6.20006,4.23256,6.18165,13.545,-0.550754,-0.00429083,1.12741,0.546463,1.67816,1.1317,0.877606,0.999842,0.0243883,0.899998,0.00225554,0.0391221,1
AT1G26790,3.35742,2.70201,2.84908,0.480793,-0.313319,-0.236853,-2.80387,0.0764657,-2.49055,-2.56701,0.999842,0.999842,0.0196585,0.999842,0.0835581,0.0351302,5
AT1G26800,5.77134,4.80744,22.8589,8.09719,-0.263637,1.98578,0.488515,2.24942,0.752152,-1.49726,0.999842,0.00225554,0.991521,0.00225554,0.601401,0.0220541,7
AT1G26930,3.34541,1.83609,1.86227,8.71386,-0.865546,-0.845119,1.38113,0.0204271,2.24667,2.22625,0.652099,0.637627,0.0946867,0.999842,0.00225554,0.00225554,1
AT1G27100,14.9205,31.3132,23.651,27.0985,1.06947,0.664606,0.860915,-0.404866,-0.208557,0.196309,0.0232287,0.290179,0.0820379,0.950654,0.999842,0.999842,8
AT1G27730,15.4821,326.36,45.8908,134.025,4.39779,1.56761,3.11383,-2.83018,-1.28396,1.54623,0.00225554,0.00225554,0.00225554,0.00225554,0.0644722,0.00587253,9
AT1G27770,19.0912,112.564,59.5991,64.1471,2.55976,1.64238,1.74847,-0.917385,-0.81129,0.106094,0.00225554,0.00225554,0.00225554,0.196151,0.372054,0.999842,9
AT1G27940,4.16518,3.8841,2.59143,0.781629,-0.100799,-0.684629,-2.41382,-0.58383,-2.31302,-1.72919,0.999842,0.367998,0.00225554,0.694569,0.00225554,0.00225554,2
"AT1G28040,AT1G28050",1.51279,1.84533,1.95016,6.14825,0.286668,0.366389,2.02297,0.0797207,1.7363,1.65658,0.999842,0.999842,0.00225554,0.999842,0.00415009,0.00415009,1
AT1G28190,4.70586,6.86348,8.67272,34.836,0.544482,0.882026,2.88805,0.337545,2.34357,2.00602,0.999842,0.463569,0.00225554,0.999842,0.00225554,0.00225554,1
AT1G28260,2.9273,1.7575,1.8659,4.6031,-0.736044,-0.649699,0.653034,0.0863444,1.38908,1.30273,0.600577,0.700714,0.627169,0.999842,0.0266529,0.0232287,1
AT1G28280,15.2835,23.28,24.4006,37.2449,0.607115,0.674942,1.28507,0.0678263,0.677955,0.610129,0.63429,0.367322,0.00415009,0.999842,0.462109,0.483972,8
AT1G28370,1.19405,26.5318,6.09289,15.9896,4.47379,2.35126,3.7432,-2.12252,-0.730588,1.39194,0.00225554,0.00901084,0.00225554,0.00225554,0.637819,0.0531779,9
AT1G28480,8.76014,35.4934,10.476,47.6762,2.01852,0.258058,2.44424,-1.76047,0.42572,2.18619,0.00587253,0.999842,0.00225554,0.00415009,0.978184,0.00225554,6
AT1G28650,0.447232,0,0.0276757,0.212181,65535,-4.01433,-1.07573,65535,65535,2.9386,0.00225554,0.648452,0.999842,1,1,1,4
AT1G28670,16.1104,15.2624,12.0501,7.71547,-0.0780077,-0.418944,-1.06216,-0.340936,-0.984156,-0.64322,0.999842,0.902353,0.028818,0.999842,0.0751204,0.453659,2
AT1G29170,7.84801,7.33653,5.50554,2.80241,-0.097229,-0.511443,-1.48566,-0.414214,-1.38843,-0.974213,0.999842,0.664051,0.00225554,0.964426,0.00415009,0.0653304,2
AT1G29195,3.32486,2.48107,1.75546,8.37177,-0.422331,-0.921445,1.33224,-0.499114,1.75457,2.25368,0.999842,0.781495,0.231934,0.999842,0.114225,0.00748685,1
AT1G29395,19.1429,15.8691,15.918,40.0855,-0.270586,-0.266145,1.06627,0.00444157,1.33686,1.33242,0.999842,0.999842,0.130284,0.999842,0.0593278,0.0255307,1
AT1G29430,16.9954,3.43971,7.31398,4.40147,-2.30478,-1.21641,-1.94909,1.08837,0.355699,-0.732673,0.00415009,0.0774578,0.00587253,0.402225,0.999842,0.773326,10
AT1G29440,12.2112,1.87364,4.71437,4.47232,-2.70429,-1.37307,-1.44911,1.33122,1.25518,-0.0760407,0.00415009,0.0903116,0.110213,0.387802,0.495637,0.999842,10
AT1G29450,7.80249,1.59351,1.92528,1.61499,-2.29173,-2.01886,-2.27241,0.272862,0.0193179,-0.253545,0.0381382,0.0391221,0.0391221,0.999842,0.999842,0.999842,10
AT1G29460,9.43919,1.88349,2.85284,2.85016,-2.32525,-1.72627,-1.72762,0.598987,0.597633,-0.00135404,0.0184341,0.0320121,0.0430158,0.999842,0.999842,0.999842,10
AT1G29690,6.48802,30.3951,21.3048,31.4004,2.22799,1.71533,2.27493,-0.512659,0.0469477,0.559607,0.00225554,0.00225554,0.00225554,0.749024,0.999842,0.646359,8
AT1G29715,0.0751282,0.0272085,0.0663582,0.603493,-1.4653,-0.17908,3.00591,1.28622,4.47121,3.18499,1,1,0.0653304,1,0.26888,0.0439841,1
AT1G29720,6.72743,5.13634,8.26171,11.865,-0.389317,0.296384,0.818578,0.685701,1.20789,0.522194,0.999842,0.999842,0.14316,0.388478,0.0196585,0.639267,3
AT1G30070,66.4867,119.446,125.935,29.4541,0.845222,0.921543,-1.1746,0.0763211,-2.01982,-2.09614,0.156065,0.138316,0.00748685,0.999842,0.00225554,0.00225554,7
AT1G30370,0.0544722,7.80011,0.293035,9.12335,7.16183,2.42748,7.3879,-4.73435,0.226069,4.96042,0.167592,0.42677,0.0895647,0.00225554,0.999842,0.00225554,6
AT1G30755,2.63483,6.7266,9.54075,21.5952,1.35217,1.85639,3.03493,0.504226,1.68276,1.17853,0.0196585,0.00225554,0.00225554,0.830929,0.00225554,0.0118963,1
AT1G31540,10.1159,30.5497,17.1634,19.5477,1.59454,0.762716,0.950379,-0.831822,-0.644159,0.187663,0.00225554,0.32194,0.0789703,0.306735,0.54898,0.999842,9
AT1G32350,5.58546,0.390837,2.7716,5.27123,-3.83704,-1.01096,-0.0835366,2.82608,3.7535,0.927424,0.00225554,0.615812,0.999842,0.0184341,0.00587253,0.716007,4
AT1G32640,64.8271,173.972,89.8879,128.641,1.42418,0.471531,0.988679,-0.952652,-0.435504,0.517148,0.00225554,0.745677,0.0243883,0.0858357,0.914492,0.642729,9
AT1G32780,6.4533,4.07045,3.05586,1.2948,-0.664851,-1.07846,-2.31731,-0.413609,-1.65246,-1.23885,0.613122,0.0812702,0.00225554,0.999842,0.0410864,0.139548,2
AT1G32900,489.913,506.054,525.422,204.911,0.0467658,0.100952,-1.25753,0.054186,-1.30429,-1.35848,0.999842,0.999842,0.00225554,0.999842,0.00587253,0.00225554,5
AT1G33030,0.87848,0.267676,0.463028,2.64075,-1.71452,-0.923909,1.58786,0.790616,3.30239,2.51177,0.841495,0.999842,0.727577,0.999842,0.0196585,0.646742,1
AT1G34750,10.5962,6.06232,8.39015,22.4396,-0.805608,-0.336782,1.0825,0.468826,1.8881,1.41928,0.286903,0.999842,0.0146178,0.935389,0.00225554,0.00225554,1
AT1G35210,2.44645,74.6948,12.728,42.2867,4.93224,2.37924,4.11144,-2.553,-0.820802,1.7322,0.00225554,0.00225554,0.00225554,0.00225554,0.546298,0.00901084,9
AT1G35350,5.34047,11.3357,11.3015,16.795,1.08583,1.08147,1.65299,-0.00435859,0.567161,0.571519,0.0449349,0.0277452,0.00225554,0.999842,0.697408,0.641568,8
AT1G35910,0.397882,0.850183,0.287925,1.5846,1.09543,-0.46665,1.9937,-1.56208,0.89827,2.46035,0.828699,0.999842,0.0954246,0.411071,0.862177,0.0371458,6
AT1G36622,19.5878,7.79642,19.5722,86.6833,-1.32907,-0.00114807,2.1458,1.32792,3.47487,2.14695,0.153177,0.999842,0.00225554,0.151467,0.00225554,0.00225554,1
AT1G36630,0.0432002,0,1.0139,0.00547957,65535,4.55273,-2.9789,65535,65535,-7.53163,1,0.00901084,1,0.00225554,1,0.336047,7
AT1G42990,45.0248,187.61,116.451,163.318,2.05894,1.37094,1.85889,-0.688006,-0.200051,0.487956,0.00225554,0.00225554,0.00225554,0.376645,0.999842,0.819756,8
